date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:28	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Sep%202023%2015:37:27%20GMT	https://courses.ankurwarikoo.com/communication-ga	C:/My%20Web%20Sites/p1/courses.ankurwarikoo.com/communication-ga.0.delayed	(from )
21:07:31	269530/269530	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Sep%202023%2007:14:57%20GMT	https://courses.ankurwarikoo.com/communication-ga/	C:/My%20Web%20Sites/p1/courses.ankurwarikoo.com/communication-ga/index.html	(from )
21:07:31	117/117	---M-Z	200	added ('OK')	text/plain	date:Sun,%2024%20Sep%202023%2015:37:30%20GMT	https://courses.ankurwarikoo.com/robots.txt		(from )
21:07:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Sep%202023%2015:37:31%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6mxc84di/87za5.css	C:/My%20Web%20Sites/p1/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6mxc84di/87za5.1.delayed	(from https://courses.ankurwarikoo.com/communication-ga/)
21:07:32	740/740	---MCZ	200	added ('OK')	text/xml	date:Sun,%2024%20Sep%202023%2015:37:31%20GMT	https://courses.ankurwarikoo.com/comments/feed/	C:/My%20Web%20Sites/p1/courses.ankurwarikoo.com/comments/feed/index.html	(from https://courses.ankurwarikoo.com/communication-ga/)
21:07:32	101333/101333	---MCZ	200	added ('OK')	text/xml	date:Sun,%2024%20Sep%202023%2015:37:31%20GMT	https://courses.ankurwarikoo.com/feed/	C:/My%20Web%20Sites/p1/courses.ankurwarikoo.com/feed/index.html	(from https://courses.ankurwarikoo.com/communication-ga/)
21:07:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Sep%202023%2015:37:33%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/dg7k3qhu/87za5.css	C:/My%20Web%20Sites/p1/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/dg7k3qhu/87za5.css	(from https://courses.ankurwarikoo.com/communication-ga/)
21:07:34	88661/88661	---MCZ	200	added ('OK')	text/css	etag:W/%2215a33-64e0fc95-b000201;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6mxc84di/87za5.css	C:/My%20Web%20Sites/p1/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6mxc84di/87za5.css	(from https://courses.ankurwarikoo.com/communication-ga/)
21:07:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Sep%202023%2015:37:34%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/23e2d0k4/87za5.css	C:/My%20Web%20Sites/p1/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/23e2d0k4/87za5.css	(from https://courses.ankurwarikoo.com/communication-ga/)
21:07:35	323246/323246	---MCZ	200	added ('OK')	text/css	etag:W/%224ede3-64e0fc95-ac08fa8;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/dg7k3qhu/87za5.css	C:/My%20Web%20Sites/p1/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/dg7k3qhu/87za5.css	(from https://courses.ankurwarikoo.com/communication-ga/)
